"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7,J8";"Pin_Header_Straight_2x50_Pitch1.27mm_SMD";2;"Conn_02x50_Odd_Even";;;
2;"R12,R13,R1,R2,R14,R20,R30,R21,R31,R36,R43,R46,R51,R48,R52,R54,R53,RA29,RA21,RA25,RA26,RA30,RA22,RA27,RA28,R37,R57,R58";"R_0603";28;"10k";;;
3;"R7,R9,R10,R5,R6,R40,R41,R3";"R_0603";8;"22R";;;
4;"P3,P4";"SDS-50J";2;"DIN_5";;;
5;"C1,C4,C9,C10,C5,C31,C35,C42,C43,C47,C51,C50,C52,C48,C53,C55,C57,C54,C44,C45,C59,C60";"C_0603";22;"100nF";;;
6;"C2,C6";"C_Radial_D10_L20_P5";2;"2200uF";;;
7;"C18,C15,C19,C30,C49,C3,C7,C58";"C_0805";8;"10uF";;;
8;"CA1,CA2";"C_0603";2;"2.2nF";;;
9;"CA5,CA6";"C_1206";2;"100nF";;;
10;"CA3,CA7,CA4,CA8";"C_0603";4;"100pF";;;
11;"CA13,CA14";"C_0603";2;"33pF";;;
12;"CA15,CA16";"C_0603";2;"47pF";;;
13;"D13,D14";"SOT-143";2;"PRTR5V0U2X";;;
14;"F1";"Fuse_SMD2920";1;"FUSE";;;
15;"FB1";"SELF-WE-PD-XXL";1;"1mH";;;
16;"L1";"C_0805";1;"600R 1.5A";;;
17;"P2";"USB_A_Vertical";1;"USB_A";;;
18;"P9";"Pin_Header_Straight_1x03";1;"SERIAL_DEBUG";;;
19;"R22,R28,R23,R29,R34,R35";"R_0603";6;"100k";;;
20;"R24,R26,R25,R27,RA5,RA3,RA6,RA4";"R_0603";8;"1M";;;
21;"R42";"R_0603";1;"5k6";;;
22;"R49,R47,R50";"R_0805";3;"220R";;;
23;"R59,R60,R61,R62";"R_0805";4;"56R";;;
24;"R56,R55,RA15,RA16,R72,R73";"R_0603";6;"100R";;;
25;"R76,R77";"R_0603";2;"330R";;;
26;"RA1,RA2";"R_0603";2;"47R";;;
27;"RA9,RA10";"R_0603";2;"21k";;;
28;"RA13,RA14";"R_0603";2;"4k99";;;
29;"RA7,RA11,RA8,RA12";"R_0603";4;"1k5";;;
30;"RA17,RA18,RA19,RA20";"R_0603";4;"1k2";;;
31;"RA23,RA24";"R_0603";2;"15k";;;
32;"RA35,RA37";"R_0603";2;"66R";;;
33;"RA31,RA33";"R_0603";2;"22k";;;
34;"RA36,RA32,RA38,RA34";"R_0603";4;"33R";;;
35;"RA39,RA40";"R_0603";2;"75k";;;
36;"SW1";"SW_Tactile_SPST_Angled";1;"SW_PUSH";;;
37;"U6,U7,U8";"SOIC-8_3.9x4.9mm_Pitch1.27mm";3;"LM4562";;;
38;"U9";"MSOP-10_3x3mm_Pitch0.5mm";1;"LM4811";;;
39;"U11";"DIP-8_SMD";1;"6N137S";;;
40;"U12";"SOIC-14_3.9x8.7mm_Pitch1.27mm";1;"ISL83491";;;
41;"J6";"RJHSE538X";1;"RJ45_LEDS";;;
42;"J5,J1,J2,J3,J4";"NMJ6HCD2";5;"JACK_TRS_6PINS";;;
43;"P5";"BARREL_JACK";1;"BARREL_JACK";;;
44;"D5,D9,D6,D10,D11,D15,D16,D12";"SOD-323";8;"1N4148";;;
45;"R63";"R_0805";1;"100R";;;
46;"U10";"SOT-23-5";1;"RT9701";;;
47;"D3,D4,D7,D8";"SOT-23";4;"BAS70-04";;;
48;"Q3,Q5,Q4,Q6";"SOT-23";4;"J112";;;
49;"Q1,Q7,Q2,Q8,Q9,Q12,Q13,Q10";"SOT-23";8;"2N7002";;;
50;"FID1,FID2,FID3";"fiducial_in-circuit";3;"FIDUCIAL";;;
51;"H1,H2,H3,H4,H5";"Hole_3.5mm";5;"HOLE";;;
52;"P1";"USB_B";1;"USB_B";;;
53;"P8";"Pin_Header_Straight_2x10_Shrouded";1;"HMI_DATA";;;
54;"Q14,Q15";"SOT-23";2;"BSS84";;;
55;"R15,R16";"R_0603";2;"2k7";;;
56;"C12,C20";"C_0805";2;"1uF";;;
57;"JMP1";"Jumper_SMD_THT";1;"0R";;;
58;"CA9,C46,C41,C40,C34,C23,CA23,CA18,CA12,CA17,CA11,CA10,C56";"c_elec_5x5.3";13;"10uF";;;
59;"C29,C27";"c_elec_6.3x5.3";2;"47uF";;;
60;"C39,C38";"c_elec_6.3x5.3";2;"100uF";;;
61;"U1";"OKI-78SR_Vertical";1;"MURATA 5V";;;
62;"P6";"B2B-XH-A";1;"HMI_POWER";;;
63;"C13,C14,C16,C17,C21,C22,C26,C28";"C_0402";8;"100nF";;;
64;"CA19,CA20";"c_elec_6.3x7.7";2;"100uF";;;
65;"C32,C61,C36";"C_Elec_5x5.4";3;"10uF";;;
66;"C33,C37";"C_0402_1005Metric";2;"100nF";;;
67;"R4";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"22R";;;
68;"U13";"SOT-23";1;"AP2120N-3.3";;;
69;"D1,D2";"D_SOD-123F";2;"MBR230";;;
70;"C11,C25,C8";"C_0805_2012Metric";3;"10uF";;;
71;"U2";"SOT-223-3_TabPin2";1;"LD1117S50TR_SOT223";;;
72;"C24";"C_0805_2012Metric";1;"1uF";;;
73;"CA24,CA25";"CP_Elec_6.3x7.7";2;"100uF";;;
74;"U3";"LQFP-48_7x7mm_P0.5mm";1;"CS4245";;;
75;"C62";"CP_Elec_5x5.3";1;"10uF";;;
76;"R17";"R_0201_0603Metric";1;"10k";;;
77;"U4";"SOT-23-5";1;"AT24CS08-STUM";;;
78;"G***";"mod-logo";1;"LOGO";;;
79;"K1,K2";"Relay_DPDT_Omron_G6S-2F-good_pinout";2;"IM06TS";;;
